No,Millis,Set Point,Proccess Variable,Manipulated Variable,Masukan Motor (%),Masukan Kompensator (%),Tachometer (%),Potensiometer (%)
32,216157,55,9.78,11.31,37.91,11.31,9.78,26.00
33,216397,55,9.60,11.35,37.95,11.35,9.60,27.47
34,216637,55,10.13,11.22,37.85,11.22,10.13,17.11
35,216877,55,9.95,11.26,37.88,11.26,9.95,6.35
36,217117,55,10.13,11.22,37.85,11.22,10.13,99.32
37,217357,55,10.31,11.17,37.82,11.17,10.31,84.56
38,217597,55,10.31,11.17,37.82,11.17,10.31,78.49
39,217837,55,11.02,11.00,37.70,11.00,11.02,43.79
40,218077,55,9.78,11.31,37.91,11.31,9.78,36.95
41,218317,55,10.49,11.13,37.79,11.13,10.49,40.47
42,218557,55,9.78,11.31,37.91,11.31,9.78,34.21
43,218797,55,9.60,11.35,37.95,11.35,9.60,22.78
44,219037,55,10.31,11.17,37.82,11.17,10.31,9.97
45,219277,55,10.31,11.17,37.82,11.17,10.31,2.15
46,219517,55,10.31,11.17,37.82,11.17,10.31,96.77
47,219757,55,10.66,11.08,37.76,11.08,10.66,85.73
48,219997,55,10.49,11.13,37.79,11.13,10.49,47.90
49,220237,55,10.84,11.04,37.73,11.04,10.84,56.40
50,220477,55,9.95,11.26,37.88,11.26,9.95,52.88
51,220717,55,10.13,11.22,37.85,11.22,10.13,41.35
52,220957,55,9.95,11.26,37.88,11.26,9.95,21.11
53,221197,55,9.60,11.35,37.95,11.35,9.60,19.94
54,221437,55,10.31,11.17,37.82,11.17,10.31,9.87
55,221677,55,9.95,11.26,37.88,11.26,9.95,1.37
56,221917,55,10.31,11.17,37.82,11.17,10.31,91.89
57,222157,55,10.66,11.08,37.76,11.08,10.66,51.91
58,222397,55,10.49,11.13,37.79,11.13,10.49,70.58
59,222637,55,10.66,11.08,37.76,11.08,10.66,53.96
60,222877,55,10.13,11.22,37.85,11.22,10.13,42.23
61,223117,55,10.13,11.22,37.85,11.22,10.13,26.69
62,223357,55,10.13,11.22,37.85,11.22,10.13,28.05
63,223597,55,9.95,11.26,37.88,11.26,9.95,12.81
64,223837,55,10.49,11.13,37.79,11.13,10.49,8.21
65,224077,55,10.49,11.13,37.79,11.13,10.49,0.00
66,224317,55,10.13,11.22,37.85,11.22,10.13,92.18
67,224557,55,10.84,11.04,37.73,11.04,10.84,82.99
68,224797,55,11.20,10.95,37.67,10.95,11.20,69.60
69,225037,55,10.31,11.17,37.82,11.17,10.31,63.34
70,225277,55,11.02,11.00,37.70,11.00,11.02,47.90
